epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.893,1.8708,2.18207,1.41523,0.49838,0.39905,0.38779,0.17415,1.84893,1.80041,1.4017,0.000553631,0.000553631,0.000553631
2,207.094,1.82032,1.65551,1.37795,0.54431,0.35397,0.36204,0.1773,1.94272,2.02337,1.43878,0.000999477,0.000999477,0.000999477
3,305.67,1.79235,1.60166,1.36446,0.52975,0.44366,0.41234,0.19924,1.90986,1.73284,1.42899,0.0013353,0.0013353,0.0013353
4,400.885,1.73028,1.4699,1.32884,0.5482,0.48185,0.4758,0.2296,1.73374,1.49206,1.34458,0.0011719,0.0011719,0.0011719
5,496.853,1.68516,1.3925,1.28801,0.60694,0.46791,0.50543,0.26292,1.72102,1.42563,1.29539,0.00100687,0.00100687,0.00100687
6,594.225,1.58975,1.31799,1.25585,0.62765,0.49234,0.50648,0.28603,1.62131,1.38854,1.24559,0.000841835,0.000841835,0.000841835
7,684.502,1.52934,1.23299,1.22457,0.66721,0.51924,0.55767,0.31937,1.59046,1.2637,1.26381,0.000676802,0.000676802,0.000676802
8,768.61,1.48259,1.14632,1.20114,0.65122,0.53652,0.55795,0.31521,1.55622,1.24187,1.23007,0.000511769,0.000511769,0.000511769
9,850.113,1.42794,1.08305,1.17448,0.70942,0.54172,0.58591,0.32844,1.54552,1.21321,1.21764,0.000346736,0.000346736,0.000346736
10,932.085,1.37136,1.02271,1.14962,0.71408,0.55869,0.59134,0.33957,1.50812,1.16268,1.20049,0.000181703,0.000181703,0.000181703
