epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.953,1.5309,1.96955,1.37063,0.56072,0.47085,0.49255,0.25088,1.67854,2.00843,1.42331,0.000554037,0.000554037,0.000554037
2,429.666,1.61381,1.7641,1.43784,0.49645,0.4914,0.47741,0.22925,1.78521,1.8269,1.52645,0.000999843,0.000999843,0.000999843
3,627.022,1.62796,1.68757,1.42499,0.62312,0.49987,0.51142,0.26099,1.69968,1.63962,1.45826,0.00133563,0.00133563,0.00133563
4,820.634,1.55718,1.54441,1.39891,0.68195,0.56305,0.60343,0.31977,1.61404,1.51777,1.41558,0.0011719,0.0011719,0.0011719
5,1019.01,1.50684,1.40653,1.35104,0.7164,0.55387,0.60386,0.35381,1.53935,1.42512,1.33726,0.00100687,0.00100687,0.00100687
6,1229.49,1.42821,1.27971,1.31446,0.76151,0.58094,0.65109,0.36069,1.53052,1.29624,1.33769,0.000841835,0.000841835,0.000841835
7,1429.15,1.35435,1.18558,1.27057,0.76763,0.62698,0.69111,0.40894,1.45688,1.1783,1.28338,0.000676802,0.000676802,0.000676802
8,1644.67,1.29087,1.07269,1.22804,0.82992,0.61257,0.68479,0.40908,1.42457,1.16817,1.2615,0.000511769,0.000511769,0.000511769
9,1860.11,1.23744,1.00939,1.19232,0.82208,0.62383,0.70602,0.43259,1.39314,1.09326,1.24984,0.000346736,0.000346736,0.000346736
10,2077.97,1.19171,0.93659,1.17623,0.80639,0.62905,0.71075,0.44547,1.35872,1.03494,1.22992,0.000181703,0.000181703,0.000181703
